#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.315839636491887E+01  0.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.832322237649529E-05  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.216732398650811E-06  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.832258925157396E-05  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.315788056266528E+01  0.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.630203952443756E-06  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.219887838482685E-06  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.646754198217699E-06  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.169845836641702E+01  0.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.315839958463582E+01  0.877224422451785E-04
     chi_2_1=  0.100000000000000E-01  -.832323867994113E-05  -.444313949806427E-09
     chi_3_1=  0.100000000000000E-01  0.216733150589733E-06  0.204997227765219E-10
     chi_1_2=  0.100000000000000E-01  -.832260555039435E-05  -.444187690616676E-09
     chi_2_2=  0.100000000000000E-01  0.315788378164008E+01  0.877022168994371E-04
     chi_3_2=  0.100000000000000E-01  0.630206410509374E-06  0.670250908146946E-10
     chi_1_3=  0.100000000000000E-01  0.219888620567362E-06  0.213234329663394E-10
     chi_2_3=  0.100000000000000E-01  0.646756809851486E-06  0.712208395722272E-10
     chi_3_3=  0.100000000000000E-01  0.169845941268300E+01  0.284956131826367E-04
     chi_1_1=  0.200000000000000E-01  0.315840924385148E+01  0.175446655194228E-03
     chi_2_1=  0.200000000000000E-01  -.832328759067795E-05  -.888638809531162E-09
     chi_3_1=  0.200000000000000E-01  0.216735406429237E-06  0.410000669003701E-10
     chi_1_2=  0.200000000000000E-01  -.832265444725466E-05  -.888386284769446E-09
     chi_2_2=  0.200000000000000E-01  0.315789343862931E+01  0.175406204005108E-03
     chi_3_2=  0.200000000000000E-01  0.630213784787699E-06  0.134052408594914E-09
     chi_1_3=  0.200000000000000E-01  0.219890966846131E-06  0.426475422612263E-10
     chi_2_3=  0.200000000000000E-01  0.646764644844301E-06  0.142444179953502E-09
     chi_3_3=  0.200000000000000E-01  0.169846255149594E+01  0.569916350534525E-04
     chi_1_1=  0.300000000000000E-01  0.315842534276036E+01  0.263174409657075E-03
     chi_2_1=  0.300000000000000E-01  -.832336910990387E-05  -.133298548978609E-08
     chi_3_1=  0.300000000000000E-01  0.216739166237535E-06  0.615016537615609E-10
     chi_1_2=  0.300000000000000E-01  -.832273594335224E-05  -.133260668668737E-08
     chi_2_2=  0.300000000000000E-01  0.315790953382740E+01  0.263113731629273E-03
     chi_3_2=  0.300000000000000E-01  0.630226075523135E-06  0.201084180469968E-09
     chi_1_3=  0.300000000000000E-01  0.219894877393220E-06  0.639730042629523E-10
     chi_2_3=  0.300000000000000E-01  0.646777703470506E-06  0.213672522151221E-09
     chi_3_3=  0.300000000000000E-01  0.169846778290072E+01  0.854884743214447E-04
     chi_1_1=  0.400000000000000E-01  0.315844788168661E+01  0.350907476655779E-03
     chi_2_1=  0.400000000000000E-01  -.832348323961578E-05  -.177736490257034E-08
     chi_3_1=  0.400000000000000E-01  0.216744430128319E-06  0.820051048354953E-10
     chi_1_2=  0.400000000000000E-01  -.832285004068289E-05  -.177685980198552E-08
     chi_2_2=  0.400000000000000E-01  0.315793206755845E+01  0.350826570296265E-03
     chi_3_2=  0.400000000000000E-01  0.630243283123049E-06  0.268122633896764E-09
     chi_1_3=  0.400000000000000E-01  0.219900352332344E-06  0.853004954493028E-10
     chi_2_3=  0.400000000000000E-01  0.646795986187393E-06  0.284908367569513E-09
     chi_3_3=  0.400000000000000E-01  0.169847510697224E+01  0.113986539737251E-03
     chi_1_1=  0.500000000000000E-01  0.315847686108413E+01  0.438647627530614E-03
     chi_2_1=  0.500000000000000E-01  -.832362998260951E-05  -.222178796196411E-08
     chi_3_1=  0.500000000000000E-01  0.216751198260772E-06  0.102511041725666E-09
     chi_1_2=  0.500000000000000E-01  -.832299674204073E-05  -.222115653835820E-08
     chi_2_2=  0.500000000000000E-01  0.315796104027619E+01  0.438546490848543E-03
     chi_3_2=  0.500000000000000E-01  0.630265408157791E-06  0.335169996823649E-09
     chi_1_3=  0.500000000000000E-01  0.219907391836722E-06  0.106630692447322E-09
     chi_2_3=  0.500000000000000E-01  0.646819493635233E-06  0.356154218207669E-09
     chi_3_3=  0.500000000000000E-01  0.169848452381528E+01  0.142486240113971E-03
     chi_1_1=  0.600000000000000E-01  0.315851228153650E+01  0.526396634046222E-03
     chi_2_1=  0.600000000000000E-01  -.832380934248003E-05  -.266626558482277E-08
     chi_3_1=  0.600000000000000E-01  0.216759470839571E-06  0.123020086206377E-09
     chi_1_2=  0.600000000000000E-01  -.832317605101869E-05  -.266550780627241E-08
     chi_2_2=  0.600000000000000E-01  0.315799645256406E+01  0.526275264552817E-03
     chi_3_2=  0.600000000000000E-01  0.630292451360745E-06  0.402228497854337E-09
     chi_1_3=  0.600000000000000E-01  0.219915996129078E-06  0.127964272083096E-09
     chi_2_3=  0.600000000000000E-01  0.646848226637303E-06  0.427412576858665E-09
     chi_3_3=  0.600000000000000E-01  0.169849603356463E+01  0.170987984348006E-03
     chi_1_1=  0.700000000000000E-01  0.315855414375709E+01  0.614156268497781E-03
     chi_2_1=  0.700000000000000E-01  -.832402132362165E-05  -.311080869147125E-08
