      0.0000000000      0.0000000000      0.0002294118
      0.1280230050      0.0237895707      0.0070160943
      0.2545766135      0.1196530524      0.0063854686
      0.3807608700      0.2385579189      0.0128454484
      0.5059472611      0.2893408665      0.0180034871
      0.6028311350      0.2457124998      0.0080795724
      0.6988988521      0.1602871373      0.0120763678
      0.7959814483      0.0707826815      0.0110252100
      0.8958937937      0.0108563209      0.0174692206
      1.0000000000      0.0001949424      0.0002191158
