      0.0000000000      0.0000000000      0.0002294118
      0.1109195611      0.0262537664      0.0247487001
      0.2218865231      0.1018210005      0.0367171227
      0.3327071650      0.2105288946      0.0402155357
      0.4437711313      0.2927681549      0.0396024285
      0.5564719898      0.2920051752      0.0389296303
      0.6674760084      0.2090344846      0.0392243609
      0.7782424376      0.1008105353      0.0354608345
      0.8891074162      0.0253915027      0.0244435316
      1.0000000000      0.0001949411      0.0002191158
